x	y	label	showSelected	group
-112.06694	33.44528	Diamondbacks	NL: West	6
-84.468	33.89	Braves	NL: East	4
-76.62167	39.28389	Orioles	AL: East	3
-71.0975	42.34639	Red Sox	AL: East	3
-87.65556	41.94833	Cubs	NL: Central	2
-87.63389	41.83	White Sox	AL: Central	1
-84.50667	39.0975	Reds	NL: Central	2
-81.68528	41.49583	Indians	AL: Central	1
-104.99417	39.75611	Rockies	NL: West	6
-83.04861	42.33917	Tigers	AL: Central	1
-80.21972	25.77806	Marlins	NL: East	4
-95.35556	29.75694	Astros	NL: West	6
-94.48056	39.05139	Royals	AL: Central	1
-117.88278	33.80028	Angels	AL: West	5
-118.24	34.07361	Dodgers	NL: West	6
-87.97111	43.02833	Brewers	NL: Central	2
-93.27833	44.98167	Twins	AL: Central	1
-73.84583	40.75694	Mets	NL: East	4
-73.92639	40.82917	Yankees	AL: East	3
-122.20056	37.75167	Athletics	AL: West	5
-75.16639	39.90583	Phillies	NL: East	4
-80.00583	40.44694	Pirates	NL: Central	2
-117.15667	32.70722	Padres	NL: West	6
-122.38917	37.77861	Giants	NL: West	6
-122.3325	47.59139	Mariners	AL: West	5
-90.19306	38.6225	Cardinals	NL: Central	2
-82.65333	27.76833	Rays	AL: East	3
-97.08278	32.75139	Rangers	AL: West	5
-79.38917	43.64139	Blue Jays	AL: East	3
-77.0075	38.87278	Nationals	NL: East	4
