"Car or Bus","Android ID","Rating","Speed","Age","Cysteic Acid"
2,1,3,13.5601009375705,1750,4.39
2,1,3,19.7666790267834,1600,4.3
2,1,3,17.4051312905583,1600,4.27
2,1,3,15.3954361396997,1600,4.33
2,1,2,8.90272943762594,1600,4.01
2,1,2,16.3567325479505,1550,3.99
2,1,2,17.5427999490819,1550,3.97
2,4,2,19.4236545402881,1550,3.82
2,4,3,20.7996291423591,1500,3.93
2,4,1,8.72437241694035,1400,3.81
2,4,1,8.72437241694035,1400,3.54
2,1,2,12.6110448093387,1400,3.72
2,5,3,37.1409017347196,1400,3.65
2,5,3,37.1409017347196,1050,3.12
2,2,1,72.92675452038,550,1.87
2,6,2,96.2060288173573,400,1.49
2,1,2,3.23767476085357,400,1.53
2,1,2,0.582100412321125,300,1.32
2,1,2,1.3868378812199,250,1.21
2,1,2,0.180865138244603,170,1.19
2,1,2,0.187306514971514,140,1.22
2,1,2,2.7403516784654,128,1.03
2,1,2,1.55177191415992,120,0.88
2,1,2,0.891614214585237,,
2,1,2,1.2619744642138,,
2,1,2,0.637205734851614,,
2,10,1,0.196122416279442,,
2,10,1,0.0358392609147971,,
2,1,3,1.03398755385352,,
2,1,1,8.98564792345559,,
2,1,3,3.45644242463035,,
2,1,3,1.58068057080132,,
2,1,3,1.02290889717635,,
2,10,1,23.784876752306,,
2,10,3,24.003004419964,,
2,10,3,21.1954933253485,,
2,10,3,21.1954933253485,,
2,10,3,20.3702468927379,,
2,11,1,2.87800872909554,,
2,10,3,18.7935954343691,,
2,10,3,18.7935954343691,,
2,10,3,14.9003918467513,,
2,10,3,14.9003918467513,,
2,10,3,25.5547121629502,,
2,1,1,13.5322194428727,,
2,10,3,17.9720982129203,,
2,10,3,29.5409544460097,,
2,10,3,15.6202167120987,,
2,1,1,0.00977939318865264,,
2,1,1,16.7788951880074,,
2,1,3,4.87144790257104,,
2,1,3,4.87144790257104,,
2,1,3,0.559217096065508,,
2,1,3,4.68039003250271,,
2,1,3,1.60135225301366,,
2,10,1,18.7052756317992,,
2,1,3,1.83416125334352,,
2,13,3,0.102032140124139,,
2,10,3,0.177183941021579,,
2,1,3,16.685368043088,,
2,10,3,10.9412890874282,,
2,10,1,24.5047380202986,,
2,1,1,11.5665726177222,,
2,17,3,0.398475672427697,,
2,1,1,19.3767939170255,,
2,10,3,7.13806787802501,,
2,1,3,1.78318709312199,,
2,19,3,0.172012210205695,,
2,20,3,1.31161192942279,,
2,21,3,23.1993918615228,,
2,21,3,23.5029280217167,,
2,22,3,1.4451421176245,,
2,23,3,0.536246276067527,,
2,25,1,1.15377219409012,,
2,26,3,0.843222985633979,,
2,27,3,1.37299771167048,,
